Level,Description,Example items or services,Example NPCs,Ways to Maintain Lifestyle,Decay rate to previous level
0,Nothing to your name. Rags for cloths and little else,Pocket lint,"Beggers, Hermits",Nothing,None
1,"Poor. Rough, patched clothes, thin food and meger accomidations.","A days food, cheap tools","Serfs, day laborers, street cleaners",Cheap labor,1 month
2,Peasant. Solid but simple clothes. Simple food. Your own tools. A small dwelling,"A tavern room for a day, Well made tools, simple weapons","Farmers, skilled workers, Servent, apprentices",Skilled labor,2 months
3,Doing well. Good but simple clothes. Good boots or shoes. Food with some spices. A fair sized dwelling. A small business of your own. simple armour,"A martial weapon, a complete tool set","Also Farmers, Inn keeper, Simple shopkeep, Journeyman laborer with steady work. Trained Soldier, Maid, low level mages.","Journeyman labor, Business income",2 months
4,Well off. Comfortable clothes with some embilishment. Comfortable boots. Exellent food. Large dwelling. A large business of your own. A standard servent or 2.,A basic set of armour. A small dwelling. A complex tool. A simple masterwork weapon,"Large Inn keeper, Well off shopkeep, Master laborer. Ranking officer. Employed Mage. Reputable Mercanary, head butlers","Master Labor, Business income, Duties",2 months
5,"Wealthy. Bespoke clothes with good embilishments, Exellent shoes. You eat very well, and have a chef in house. A large house that is fully staffed. You occupy a position of minor power.",A martial set of armour. A fair sized building. A masterwork martial weapon. A set of complex or arcane tools. Enchanment services,"Knight, Ranking Mage. Wealthy shopkeep. Workshop owner. Large guildsman",Holding a position with a wealthy income,6 months
6,"Bougeois or Low Nobility. Rich by definition. You often have the best available version of common items. Either multiple homes, or a large mansion. Well payed and well trained employees manage your home and estate. You have a small group of guards",Bespoke Jewlery. ,"Business Owners, Nobility, Legendary Mercenaries, Respected Mages, Well known government officials",Holding a position with a wealthy income,6 months
7,"Noble. Your wealth comes from your territory or your government position. Wealth becomes a functionality, you manage cities, towns, entire guilds; you dont really have to care about the cost of individual items anymore. Your last name is well known.","Very Rare Items, Plate Armour","Nobility, Archmages",Be Noble or an Archmage,12 months
8,"High Noble. Inconsivably wealthy. you dont work, so much as manage your existing money and rank. Often in charge of large territories or hold chairs at important councils. Heads of storied houses and leaders of large armies. Wealth is no longer a persuite, your time is focused on power.",Castles,High Nobility,High Nobility,"0 months. To lose your position, carries imediate consequences"
9,"Noble with Claim. Little difference between your wealth and a high nobles wealth. You hold more political power. Somewhere in your families history, you married into or are close to the royal line. Or you are close to the royal line in power. You may rule a kingdome in shadow with a puppet emperor.","Also Farmers, Inn keeper, Simple shopkeep, Journeyman laborer with steady work. Trained Soldier, Maid, low level mages.","Dukes, Kings of small kingdoms.",be a duke,"0 months. To lose your position, carries imediate consequences"
10,There is little to no opposition to you. Both wealth and power are yours to wield as you wish.,Nothing,"Kings, Tyrants, Emporers, Conquorers",be a king,"0 months. To lose your position, carries imediate consequences"
